totalWeeks,geWeeks,profile,inputClass,recentWeeklyVolumeKm,recentLongestRunKm,coreWeek1TargetKm,geExitVolumeKm,entryMinusTargetKm,result
21,1,ConsistencyNeeded,Low,15,5,15,15,0,PASS
22,2,ConsistencyNeeded,Low,15,5,15,16,1,FAIL
23,3,ConsistencyNeeded,Low,15,5,15,17,2,FAIL
24,4,ConsistencyNeeded,Low,15,5,15,14,5,-0,5,PASS
25,5,ConsistencyNeeded,Low,15,5,15,18,3,FAIL
26,6,ConsistencyNeeded,Low,15,5,15,19,5,4,5,FAIL
27,7,ConsistencyNeeded,Low,15,5,15,21,6,FAIL
28,8,ConsistencyNeeded,Low,15,5,15,18,3,FAIL
29,9,ConsistencyNeeded,Low,15,5,15,22,5,7,5,FAIL
30,10,ConsistencyNeeded,Low,15,5,15,24,9,FAIL
31,11,ConsistencyNeeded,Low,15,5,15,25,5,10,5,FAIL
32,12,ConsistencyNeeded,Low,15,5,15,21,5,6,5,FAIL
33,13,ConsistencyNeeded,Low,15,5,15,27,5,12,5,FAIL
34,14,ConsistencyNeeded,Low,15,5,15,29,5,14,5,FAIL
35,15,ConsistencyNeeded,Low,15,5,15,31,5,16,5,FAIL
36,16,ConsistencyNeeded,Low,15,5,15,27,12,FAIL
37,17,ConsistencyNeeded,Low,15,5,15,33,5,18,5,FAIL
38,18,ConsistencyNeeded,Low,15,5,15,36,21,FAIL
39,19,ConsistencyNeeded,Low,15,5,15,38,5,23,5,FAIL
40,20,ConsistencyNeeded,Low,15,5,15,32,5,17,5,FAIL
41,21,ConsistencyNeeded,Low,15,5,15,41,26,FAIL
42,22,ConsistencyNeeded,Low,15,5,15,43,5,28,5,FAIL
43,23,ConsistencyNeeded,Low,15,5,15,46,31,FAIL
44,24,ConsistencyNeeded,Low,15,5,15,39,24,FAIL
45,25,ConsistencyNeeded,Low,15,5,15,48,5,33,5,FAIL
46,26,ConsistencyNeeded,Low,15,5,15,51,36,FAIL
47,27,ConsistencyNeeded,Low,15,5,15,53,5,38,5,FAIL
48,28,ConsistencyNeeded,Low,15,5,15,45,5,30,5,FAIL
49,29,ConsistencyNeeded,Low,15,5,15,56,41,FAIL
50,30,ConsistencyNeeded,Low,15,5,15,58,5,43,5,FAIL
51,31,ConsistencyNeeded,Low,15,5,15,61,46,FAIL
52,32,ConsistencyNeeded,Low,15,5,15,52,37,FAIL
21,1,ConsistencyNeeded,Typical,20,8,20,20,0,PASS
22,2,ConsistencyNeeded,Typical,20,8,20,21,5,1,5,FAIL
23,3,ConsistencyNeeded,Typical,20,8,20,23,3,FAIL
24,4,ConsistencyNeeded,Typical,20,8,20,19,5,-0,5,PASS
25,5,ConsistencyNeeded,Typical,20,8,20,24,5,4,5,FAIL
26,6,ConsistencyNeeded,Typical,20,8,20,26,6,FAIL
27,7,ConsistencyNeeded,Typical,20,8,20,28,8,FAIL
28,8,ConsistencyNeeded,Typical,20,8,20,24,4,FAIL
29,9,ConsistencyNeeded,Typical,20,8,20,30,10,FAIL
30,10,ConsistencyNeeded,Typical,20,8,20,32,12,FAIL
31,11,ConsistencyNeeded,Typical,20,8,20,34,14,FAIL
32,12,ConsistencyNeeded,Typical,20,8,20,29,9,FAIL
33,13,ConsistencyNeeded,Typical,20,8,20,36,5,16,5,FAIL
34,14,ConsistencyNeeded,Typical,20,8,20,39,19,FAIL
35,15,ConsistencyNeeded,Typical,20,8,20,41,5,21,5,FAIL
36,16,ConsistencyNeeded,Typical,20,8,20,35,5,15,5,FAIL
37,17,ConsistencyNeeded,Typical,20,8,20,44,24,FAIL
38,18,ConsistencyNeeded,Typical,20,8,20,46,5,26,5,FAIL
39,19,ConsistencyNeeded,Typical,20,8,20,49,29,FAIL
40,20,ConsistencyNeeded,Typical,20,8,20,41,5,21,5,FAIL
41,21,ConsistencyNeeded,Typical,20,8,20,51,5,31,5,FAIL
42,22,ConsistencyNeeded,Typical,20,8,20,54,34,FAIL
43,23,ConsistencyNeeded,Typical,20,8,20,56,5,36,5,FAIL
44,24,ConsistencyNeeded,Typical,20,8,20,48,28,FAIL
45,25,ConsistencyNeeded,Typical,20,8,20,59,39,FAIL
46,26,ConsistencyNeeded,Typical,20,8,20,61,5,41,5,FAIL
47,27,ConsistencyNeeded,Typical,20,8,20,64,44,FAIL
48,28,ConsistencyNeeded,Typical,20,8,20,54,5,34,5,FAIL
49,29,ConsistencyNeeded,Typical,20,8,20,66,5,46,5,FAIL
50,30,ConsistencyNeeded,Typical,20,8,20,69,49,FAIL
51,31,ConsistencyNeeded,Typical,20,8,20,71,5,51,5,FAIL
52,32,ConsistencyNeeded,Typical,20,8,20,61,41,FAIL
21,1,ConsistencyNeeded,High,30,12,30,30,0,PASS
22,2,ConsistencyNeeded,High,30,12,30,32,2,FAIL
23,3,ConsistencyNeeded,High,30,12,30,34,4,FAIL
24,4,ConsistencyNeeded,High,30,12,30,29,-1,PASS
25,5,ConsistencyNeeded,High,30,12,30,36,5,6,5,FAIL
26,6,ConsistencyNeeded,High,30,12,30,39,9,FAIL
27,7,ConsistencyNeeded,High,30,12,30,41,5,11,5,FAIL
28,8,ConsistencyNeeded,High,30,12,30,35,5,5,5,FAIL
29,9,ConsistencyNeeded,High,30,12,30,44,14,FAIL
30,10,ConsistencyNeeded,High,30,12,30,46,5,16,5,FAIL
31,11,ConsistencyNeeded,High,30,12,30,49,19,FAIL
32,12,ConsistencyNeeded,High,30,12,30,41,5,11,5,FAIL
33,13,ConsistencyNeeded,High,30,12,30,51,5,21,5,FAIL
34,14,ConsistencyNeeded,High,30,12,30,54,24,FAIL
35,15,ConsistencyNeeded,High,30,12,30,56,5,26,5,FAIL
36,16,ConsistencyNeeded,High,30,12,30,48,18,FAIL
37,17,ConsistencyNeeded,High,30,12,30,59,29,FAIL
38,18,ConsistencyNeeded,High,30,12,30,61,5,31,5,FAIL
39,19,ConsistencyNeeded,High,30,12,30,64,34,FAIL
40,20,ConsistencyNeeded,High,30,12,30,54,5,24,5,FAIL
41,21,ConsistencyNeeded,High,30,12,30,66,5,36,5,FAIL
42,22,ConsistencyNeeded,High,30,12,30,69,39,FAIL
43,23,ConsistencyNeeded,High,30,12,30,71,5,41,5,FAIL
44,24,ConsistencyNeeded,High,30,12,30,61,31,FAIL
45,25,ConsistencyNeeded,High,30,12,30,74,44,FAIL
46,26,ConsistencyNeeded,High,30,12,30,76,5,46,5,FAIL
47,27,ConsistencyNeeded,High,30,12,30,79,49,FAIL
48,28,ConsistencyNeeded,High,30,12,30,67,37,FAIL
49,29,ConsistencyNeeded,High,30,12,30,81,5,51,5,FAIL
50,30,ConsistencyNeeded,High,30,12,30,84,54,FAIL
51,31,ConsistencyNeeded,High,30,12,30,86,5,56,5,FAIL
52,32,ConsistencyNeeded,High,30,12,30,73,5,43,5,FAIL
21,1,CoreEntryReady,Low,15,5,15,15,0,PASS
22,2,CoreEntryReady,Low,15,5,15,16,1,FAIL
23,3,CoreEntryReady,Low,15,5,15,17,2,FAIL
24,4,CoreEntryReady,Low,15,5,15,14,5,-0,5,PASS
25,5,CoreEntryReady,Low,15,5,15,18,3,FAIL
26,6,CoreEntryReady,Low,15,5,15,19,5,4,5,FAIL
27,7,CoreEntryReady,Low,15,5,15,21,6,FAIL
28,8,CoreEntryReady,Low,15,5,15,18,3,FAIL
29,9,CoreEntryReady,Low,15,5,15,22,5,7,5,FAIL
30,10,CoreEntryReady,Low,15,5,15,24,9,FAIL
31,11,CoreEntryReady,Low,15,5,15,25,5,10,5,FAIL
32,12,CoreEntryReady,Low,15,5,15,21,5,6,5,FAIL
33,13,CoreEntryReady,Low,15,5,15,27,5,12,5,FAIL
34,14,CoreEntryReady,Low,15,5,15,29,5,14,5,FAIL
35,15,CoreEntryReady,Low,15,5,15,31,5,16,5,FAIL
36,16,CoreEntryReady,Low,15,5,15,27,12,FAIL
37,17,CoreEntryReady,Low,15,5,15,33,5,18,5,FAIL
38,18,CoreEntryReady,Low,15,5,15,36,21,FAIL
39,19,CoreEntryReady,Low,15,5,15,38,5,23,5,FAIL
40,20,CoreEntryReady,Low,15,5,15,32,5,17,5,FAIL
41,21,CoreEntryReady,Low,15,5,15,41,26,FAIL
42,22,CoreEntryReady,Low,15,5,15,43,5,28,5,FAIL
43,23,CoreEntryReady,Low,15,5,15,46,31,FAIL
44,24,CoreEntryReady,Low,15,5,15,39,24,FAIL
45,25,CoreEntryReady,Low,15,5,15,48,5,33,5,FAIL
46,26,CoreEntryReady,Low,15,5,15,51,36,FAIL
47,27,CoreEntryReady,Low,15,5,15,53,5,38,5,FAIL
48,28,CoreEntryReady,Low,15,5,15,45,5,30,5,FAIL
